Month,Day,Imsaak,Fajr,Sunrise,Zohr,Sunset,Maghrib,Tomorrow_Fajr
8,17,02:50:00,03:00:00,04:47:00,12:09:00,19:22:00,19:37:00,03:02:00
8,18,02:52:00,03:02:00,04:49:00,12:09:00,19:20:00,19:35:00,03:04:00
8,19,02:54:00,03:04:00,04:50:00,12:09:00,19:18:00,19:33:00,03:07:00
8,20,02:57:00,03:07:00,04:52:00,12:08:00,19:15:00,19:30:00,03:09:00
8,21,02:59:00,03:09:00,04:54:00,12:08:00,19:13:00,19:28:00,03:13:00
8,22,03:03:00,03:13:00,04:55:00,12:08:00,19:11:00,19:26:00,03:14:00
8,23,03:04:00,03:14:00,04:57:00,12:08:00,19:09:00,19:24:00,03:16:00
8,24,03:06:00,03:16:00,04:59:00,12:08:00,19:07:00,19:22:00,03:20:00
8,25,03:10:00,03:20:00,05:00:00,12:07:00,19:04:00,19:19:00,03:21:00
8,26,03:11:00,03:21:00,05:02:00,12:07:00,19:02:00,19:17:00,03:24:00
8,27,03:14:00,03:24:00,05:04:00,12:07:00,19:00:00,19:15:00,03:27:00
8,28,03:17:00,03:27:00,05:05:00,12:06:00,18:58:00,19:13:00,03:28:00
8,29,03:18:00,03:28:00,05:07:00,12:06:00,18:55:00,19:10:00,03:30:00
8,30,03:20:00,03:30:00,05:09:00,12:06:00,18:53:00,19:08:00,03:33:00
8,31,03:23:00,03:33:00,05:10:00,12:05:00,18:51:00,19:06:00,03:33:00
9,1,03:23:00,03:33:00,05:12:00,12:05:00,18:49:00,19:04:00,03:35:00
9,2,03:25:00,03:35:00,05:14:00,12:05:00,18:46:00,19:01:00,03:39:00
9,3,03:29:00,03:39:00,05:15:00,12:04:00,18:44:00,18:59:00,03:40:00
9,4,03:30:00,03:40:00,05:17:00,12:04:00,18:42:00,18:57:00,03:42:00
9,5,03:32:00,03:42:00,05:19:00,12:04:00,18:39:00,18:54:00,03:45:00
9,6,03:35:00,03:45:00,05:20:00,12:03:00,18:37:00,18:52:00,03:46:00
9,7,03:36:00,03:46:00,05:22:00,12:03:00,18:35:00,18:50:00,03:48:00
9,8,03:38:00,03:48:00,05:24:00,12:03:00,18:32:00,18:47:00,03:51:00
9,9,03:41:00,03:51:00,05:25:00,12:02:00,18:30:00,18:45:00,03:52:00
9,10,03:42:00,03:52:00,05:27:00,12:02:00,18:27:00,18:42:00,03:54:00
9,11,03:44:00,03:54:00,05:29:00,12:02:00,18:25:00,18:40:00,03:57:00
9,12,03:47:00,03:57:00,05:30:00,12:01:00,18:23:00,18:38:00,03:58:00
9,13,03:48:00,03:58:00,05:32:00,12:01:00,18:20:00,18:35:00,04:00:00
9,14,03:50:00,04:00:00,05:34:00,12:01:00,18:18:00,18:33:00,04:03:00
9,15,03:53:00,04:03:00,05:35:00,12:00:00,18:16:00,18:31:00,04:04:00
9,16,03:54:00,04:04:00,05:37:00,12:00:00,18:13:00,18:28:00,04:07:00
9,17,03:57:00,04:07:00,05:39:00,12:00:00,18:11:00,18:26:00,04:10:00
9,18,04:00:00,04:10:00,05:40:00,11:59:00,18:08:00,18:23:00,04:11:00
9,19,04:01:00,04:11:00,05:42:00,11:59:00,18:06:00,18:21:00,04:13:00
9,20,04:03:00,04:13:00,05:44:00,11:59:00,18:04:00,18:19:00,04:16:00
9,21,04:06:00,04:16:00,05:46:00,11:58:00,18:01:00,18:16:00,04:17:00
9,22,04:07:00,04:17:00,05:47:00,11:58:00,17:59:00,18:14:00,04:19:00
9,23,04:09:00,04:19:00,05:49:00,11:58:00,17:57:00,18:12:00,04:22:00
9,24,04:12:00,04:22:00,05:51:00,11:57:00,17:54:00,18:09:00,04:22:00
9,25,04:12:00,04:22:00,05:52:00,11:57:00,17:52:00,18:07:00,04:24:00
9,26,04:14:00,04:24:00,05:54:00,11:56:00,17:49:00,18:04:00,04:27:00
9,27,04:17:00,04:27:00,05:56:00,11:56:00,17:47:00,18:02:00,04:28:00
9,28,04:18:00,04:28:00,05:57:00,11:56:00,17:45:00,18:00:00,04:30:00
9,29,04:20:00,04:30:00,05:59:00,11:55:00,17:42:00,17:57:00,04:33:00
9,30,04:23:00,04:33:00,06:01:00,11:55:00,17:40:00,17:55:00,04:35:00
10,1,04:25:00,04:35:00,06:02:00,11:55:00,17:38:00,17:53:00,04:36:00
10,2,04:26:00,04:36:00,06:04:00,11:54:00,17:35:00,17:50:00,04:38:00
10,3,04:28:00,04:38:00,06:06:00,11:54:00,17:33:00,17:48:00,04:41:00
10,4,04:31:00,04:41:00,06:08:00,11:53:00,17:31:00,17:46:00,04:42:00
10,5,04:32:00,04:42:00,06:09:00,11:53:00,17:28:00,17:43:00,04:43:00
10,6,04:33:00,04:43:00,06:11:00,11:53:00,17:26:00,17:41:00,04:46:00
10,7,04:36:00,04:46:00,06:13:00,11:53:00,17:24:00,17:39:00,04:48:00
10,8,04:38:00,04:48:00,06:15:00,11:53:00,17:21:00,17:36:00,04:49:00
10,9,04:39:00,04:49:00,06:16:00,11:52:00,17:19:00,17:34:00,04:51:00
10,10,04:41:00,04:51:00,06:18:00,11:52:00,17:17:00,17:32:00,04:54:00
10,11,04:44:00,04:54:00,06:20:00,11:52:00,17:14:00,17:29:00,04:55:00
10,12,04:45:00,04:55:00,06:22:00,11:52:00,17:12:00,17:27:00,04:56:00
10,13,04:46:00,04:56:00,06:23:00,11:51:00,17:10:00,17:25:00,04:58:00
10,14,04:48:00,04:58:00,06:25:00,11:51:00,17:08:00,17:23:00,05:00:00
10,15,04:50:00,05:00:00,06:27:00,11:51:00,17:06:00,17:21:00,05:03:00
10,16,04:53:00,05:03:00,06:29:00,11:51:00,17:03:00,17:18:00,05:04:00
10,17,04:54:00,05:04:00,06:31:00,11:51:00,17:01:00,17:16:00,05:05:00
10,18,04:55:00,05:05:00,06:32:00,11:50:00,16:59:00,17:14:00,05:07:00
10,19,04:57:00,05:07:00,06:34:00,11:50:00,16:57:00,17:12:00,05:10:00
10,20,05:00:00,05:10:00,06:36:00,11:50:00,16:55:00,17:10:00,05:12:00
10,21,05:02:00,05:12:00,06:38:00,11:50:00,16:53:00,17:08:00,05:13:00
10,22,05:03:00,05:13:00,06:40:00,11:50:00,16:50:00,17:05:00,05:14:00
10,23,05:04:00,05:14:00,06:41:00,11:49:00,16:48:00,17:03:00,05:16:00
10,24,05:06:00,05:16:00,06:43:00,11:49:00,16:46:00,17:01:00,05:18:00
